Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2021†","Hemolytic uremic snydrome post-diarrheal, Cum 2021†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2021†","Hepatitis A, acute, Cum 2021†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2021†","Hepatitis B, acute, Cum 2021†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
NEW ENGLAND,2021,1,,-,1,,,-,,-,2,,12,,2,,5,,,-,4,,,-,2,,,NEW ENGLAND,20210102,
MAINE,2021,1,,-,0,,,-,,-,2,,12,,2,,1,,,-,2,,,-,,-,MAINE,,20210104,POINT (-69.06137 45.117911)
MASSACHUSETTS,2021,1,,-,1,,,-,,-,,-,4,,,-,,-,,-,3,,,-,2,,MASSACHUSETTS,,20210105,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2021,1,,-,0,,,-,,-,,-,3,,,-,3,,,-,0,,,-,,-,NEW HAMPSHIRE,,20210106,POINT (-71.57139 43.680429)
RHODE ISLAND,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,U,,NC,,U,,U,RHODE ISLAND,,20210107,POINT (-71.534637 41.572574)
VERMONT,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,VERMONT,,20210108,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2021,1,,-,2,,,-,,-,3,,26,,3,,26,,1,,8,,1,,3,,,MIDDLE ATLANTIC,20210109,
NEW YORK,2021,1,,-,2,,,-,,-,,-,11,,,-,,-,,-,2,,,-,,-,NEW YORK,,20210111,POINT (-75.59655 42.921241)
NEW YORK CITY,2021,1,,-,0,,,-,,-,3,,11,,3,,3,,1,,4,,1,,1,,,NEW YORK CITY,20210112,
EAST NORTH CENTRAL,2021,1,,-,1,,,-,,-,,-,31,,,-,18,,2,,13,,2,,5,,,EAST NORTH CENTRAL,20210114,
INDIANA,2021,1,,-,1,,,-,,-,,-,11,,,-,11,,,-,6,,,-,3,,INDIANA,,20210116,POINT (-86.2818 39.919991)
