City, State,	Outcome,	Time period
Atlanta, GA,	Received data,	2015-2020
Baltimore, MD,	Received data that was not responsive to FOIA,	2015-2020
Baton Rouge, LA,	Received data,	2010-2019
Birmingham, AL,	Did not receive data	
Boston, MA,	Received data,	2010-2019
Bridgeport, CT,	Did not receive data,	
Buffalo, NY,	Did not receive data,	
Cambridge, MA,	Received data,	2010-2019
Charleston, SC,	Received data,	2010-2019
Chattanooga, TN,Did not receive data,	
Chicago, IL,	Received data,	2010-2019
Cincinnati, OH,	Received data,	2010-2020
Cleveland, OH,	Received data,	2010-2020
Columbia, SC,	Received data,	2010-2019
Dayton, OH,	Did not receive data,	
Detroit, MI,	Received data,	2010-2019
Elizabeth, NJ,	Did not receive data,	
Fort Lauderdale, FL,	Received data,	2011-2019
Hartford, CT,	Received data, unusable	
Indianapolis, IN,	Received data,	2010-2019
Jersey City, NJ,	Received data, unusable	
Kansas City, MO,	Received data, unusable	
Little Rock, AR,	Received data,	2010-2019
Los Angeles, CA,	Received data,	2010-2019
Memphis, TN,	Received data,	2013-2019
Miami, FL,	Received data,	2010-2020
Milwaukee, WI,	Received data,	2010-2019
New Haven, CT,	Did not receive data,	
New Orleans, LA,	Received data,	2010-2019
New York City, NY,	Received data,	2010-2019
Newark, NJ,	Did not receive data,	
Norfolk, VA,	Did not receive data,	
North Charleston, SC,	Received data,	2010-2019
Orlando, FL,	Received data,	2010-2018
Paterson, NJ,	Received data,	2010-2019
Philadelphia, PA,	Received data,	2009-2019
Pittsburgh, PA,	Did not receive data,	
Richmond, VA,	Received data,	2010-2019
Roanoke, VA,	Received data,	2010-2019
Rochester, NY,	Did not receive data,
San Francisco, CA,	Received data,	2010-2019
Shreveport, LA,	Received data, unusable	
Springfield, MA,	Received data,	2006-2020
St Louis, MO,	Received data,	2015-2019
Syracuse, NY,	Did not receive data,	
Tuscaloosa, AL,	Did not receive data,	
Washington, DC,	Received data,	2010-2019
Waterbury, CT,	Received data,	2011-2019
West Palm Beach, FL,	Did not receive data,
Yonkers, NY,	Did not receive data,	
